FirstName,Surname,Gender
Xavier,Lodh,Male
Eshani,Banerjee,Female
Wahid,Bhattacharjee,Male
Enakshi,Saha,Female
Utpal,Bhattacharya,Male
Wasim,Mazumdar,Male
Xavier,Sikdar,Male
Pihu,Bera,Female
Qasim,Mandal,Male
Biplab,Halder,Male
Xavier,Saha,Male
Ishaan,Bhattacharya,Male
Hiranmay,Basu,Male
Enakshi,Pramanik,Female
Tumpa,Rahman,Female
Mrinmayee,Karmakar,Female
Manas,Basu,Male
Mithun,Koley,Male
Harsha,Bhowmik,Female
Gulshan,Bagchi,Male
Varun,Roychowdhury,Male
Zarin,Chakma,Female
Quadir,Mondal,Male
Bikram,Deb,Male
Jharna,Chowdhury,Female
Rima,Ghosalkar,Female
Namita,Naskar,Female
Manisha,Ganguly,Female
Arindam,Deb,Male
Ishita,Dutta,Female
Payel,Ray,Female
Jharna,Mazumder,Female
Tina,Barik,Female
Tumpa,Ray,Female
Debjit,Dey,Male
Ishita,Paul,Female
Pratik,Bandyopadhyay,Male
Xarina,Paul,Female
Niladri,Majumdar,Male
Sourav,Biswas,Male
Tumpa,Dutta,Female
Nabamita,Paul,Female
Ritwik,Mukhopadhyay,Male
Hrithik,Munshi,Male
Manas,Datta,Male
Chandan,Sengupta,Male
Qayum,Kundu,Male
Suchitra,Chakravarty,Female
Indranil,Halder,Male
Warisha,Saha,Female
Arjun,Sheikh,Male
Nabaneeta,Das,Female
Subhajit,Basak,Male
Wasim,Sarkar,Male
Madhuri,Ray,Female
Arpan,Ray,Male
Koel,Sekhar,Female
Tanmay,Sen,Male
Bishal,Sinha,Male
Madhuri,Barai,Female
Sudip,Sarkar,Male
Suchismita,Chakma,Female
Wasim,Naskar,Male
Himadri,Rahman,Male
Rupali,Ghosalkar,Female
Upoma,Sultana,Female
Krittika,Banerji,Female
Suchismita,Chakravarty,Female
Farhan,Sengupta,Male
Riya,Pramanik,Female
Kajal,Basak,Female
Madhuri,Barik,Female
Ravi,Deb,Male
Riya,Bhattacharjee,Female
Himadri,Halder,Male
Anik,Bhattacharjee,Male
Bappa,Bhowmik,Male
Ritwik,GhoshDastidar,Male
Indrani,Ali,Female
Upoma,Sengupta,Female
Harsha,Mukherjee,Female
Madhumita,Pal,Female
Jayanta,Mitra,Male
Gopal,Bagchi,Male
Puja,Roy,Female
Tina,Halder,Female
Oishee,Lodh,Female
Ipsita,Mitra,Female
Wasim,DuttaChoudhury,Male
Palash,Bhattacharjee,Male
Payel,SenGupta,Female
Liton,Chakrabarti,Male
Lopamudra,Sengupto,Female
Joy,Bhowmik,Male
Liton,Lodh,Male
Subhajit,Ghoshal,Male
Upal,Ali,Male
Ipsita,Kar,Female
Madhuri,Ganguly,Female
Tapas,DuttaChoudhury,Male
Kaushik,Pal,Male
Krittika,Banerjee,Female
Koyel,Dutta,Female
Riya,Karmakar,Female
Enakshi,Dey,Female
Tanmay,Majumdar,Male
Himadri,Chakrabarti,Male
Krittika,Sultana,Female
Riya,Roychowdhury,Female
Animesh,Khatun,Male
Naina,Hossain,Female
Faria,Bhattacharjee,Female
Mitali,Bandyopadhyay,Female
Hiranmay,Sinha,Male
Indrani,Gazi,Female
Utpal,Halder,Male
Faria,Karmakar,Female
Ritwik,Talukdar,Male
Xarina,Halder,Female
Krittika,Ghosh,Female
Gulshan,Barua,Male
Rupak,Moitra,Male
Krittika,Chakma,Female
Partha,Basak,Male
Arjun,Koley,Male
Bappa,Chakravarty,Male
Deep,Paul,Male
Pradip,Kundu,Male
Koyel,GhoshDastidar,Female
Soma,Basu,Female
Nabamita,Malakar,Female
Anik,Basu,Male
Debjit,Roychowdhury,Male
Indrani,Munshi,Female
Gulshan,Sengupta,Male
Manoj,Paul,Male
Farhanul,Moitra,Male
Naina,Saha,Female
Manoj,Datta,Male
Sudip,Gazi,Male
Somnath,Karmakar,Male
Joydeep,Barua,Male
Oindrila,Chakraborty,Female
Komal,Ghosalkar,Female
Pratik,Nandi,Male
Bikram,Malakar,Male
Enakshi,Ghoshal,Female
Faria,Chowdhury,Female
Krittika,Mondal,Female
Koyel,Karmakar,Female
Oishani,Dutta,Female
Indrani,Chakrabarti,Female
Joy,Majumdar,Male
Qasim,Chatterjee,Male
Dipankar,Barik,Male
Rukmini,Sheikh,Female
Gourab,Malakar,Male
Ishita,Pal,Female
Puja,Koley,Female
Wahid,Roychowdhury,Male
Subhasis,Biswas,Male
Sourav,Basu,Male
Joydeep,Moitra,Male
Pradip,Chakma,Male
Jaya,Talukdar,Female
Rima,Basak,Female
Velan,Mazumdar,Male
Ishita,Deb,Female
Esha,Ray,Female
Nirupam,Chowdhury,Male
Tithi,Sengupto,Female
Harsha,Ghoshal,Female
Sweta,Chakrabarti,Female
Gouranga,Dey,Male
Biplab,Rahman,Male
Lopamudra,Basak,Female
Ishita,Sheikh,Female
Zarin,Karmakar,Female
Oishani,Sen,Female
Ranjit,Bhuiyan,Male
Krittika,Sen,Female
Farida,GhoshDastidar,Female
Niladri,Kar,Male
Deepto,DuttaChoudhury,Male
Jharna,Koley,Female
Sourav,Bhuiyan,Male
Arjun,Banerji,Male
Deep,Talukdar,Male
Velan,Bhowmik,Male
Anik,Mazumder,Male
Chandan,Sikdar,Male
Gouranga,Saha,Male
Dwaipayan,Chakrabarti,Male
Anik,Roy,Male
Swapan,Mandal,Male
Wahid,Gazi,Male
Xavier,Koley,Male
Ipsita,SenGupta,Female
Mrinmoy,Moitra,Male
Dwaipayan,DuttaChoudhury,Male
Puja,Nandi,Female
Yash,Biswas,Male
Harsha,Bhuiyan,Female
Madhumita,Mukherjee,Female
Indrani,DuttaChoudhury,Female
Anik,Chakravarty,Male
Indranil,Biswas,Male
Bappa,Lodh,Male
Mrinmayee,Sen,Female
Mitali,Sen,Female
Gopal,Gazi,Male
Oindrila,DuttaChoudhury,Female
Payel,Gazi,Female
Zarin,Barik,Female
Rupam,Banerjee,Male
Utpal,Datta,Male
Esha,Dey,Female
Goutam,Dutta,Male
Gargi,Chakravarty,Female
Indranil,Chakrabarti,Male
Upoma,Adhikary,Female
Joy,Mandal,Male
Oishee,Bhattacharjee,Female
Qayum,Moitra,Male
Zarin,Sengupto,Female
Gulshan,Chakrabarti,Male
Partha,Bhowmik,Male
Laboni,Saha,Female
Pritha,Naskar,Female
Nabendu,Khan,Male
Manas,Mitra,Male
Purnima,Poddar,Female
Gulshan,Sinha,Male
Gourab,Sen,Male
Aritra,Ray,Male
Eshani,Biswas,Female
Ishaan,Datta,Male
Tuhina,Koley,Female
Rukmini,Barua,Female
Harsha,Mondal,Female
Subhash,Chatterjee,Male
Faria,Sultana,Female
Faria,Lodh,Female
Niladri,Paul,Male
Deep,Chowdhury,Male
Indrani,Jana,Female
Pradip,GhoshDastidar,Male
Rupam,Dutta,Male
Chiranjit,Mukherjee,Male
Gargi,Mukhopadhyay,Female
Ranjit,Lodh,Male
Dibakar,Poddar,Male
Rupali,Karmakar,Female
Biplab,Basak,Male
Nikhil,Bhattacharjee,Male
Dwij,Mitra,Male
Yasmin,Banerji,Female
Velan,Malakar,Male
Rimi,Roy,Female
Farida,Deb,Female
Mitali,Barik,Female
Zarin,Barua,Female
Purnima,Dutta,Female
Sudip,Das,Male
Vikram,Ganguly,Male
Tithi,Bhowmik,Female
Velan,Sikdar,Male
Jharna,Nandi,Female
Pradip,Chakraborty,Male
Velan,Bandyopadhyay,Male
Arpan,Mondal,Male
Rupam,Ray,Male
Wahid,Mondal,Male
Harsha,Mukhopadhyay,Female
Dwaipayan,Bhattacharjee,Male
Quadir,Bhattacharjee,Male
Tapas,Bagchi,Male
Manoj,Das,Male
Manoj,Chakraborty,Male
Lipika,Bhowmik,Female
Kajal,Roychowdhury,Female
Qayum,Basak,Male
Farhanul,Rahman,Male
Farhanul,Majumdar,Male
Yash,Ganguly,Male
Soma,Sen,Female
Komal,Talukdar,Female
Indranil,Karmakar,Male
Joydeep,Ghoshal,Male
Wahid,Lodh,Male
Yogesh,Basak,Male
Liton,Sengupta,Male
Rupak,Datta,Male
Yash,Pal,Male
Dwij,Mazumder,Male
Vikram,Karmakar,Male
Arpan,SenGupta,Male
Rupam,Mandal,Male
Palash,Ali,Male
Bikram,Karmakar,Male
Eshani,Gazi,Female
Manisha,Khatun,Female
Upoma,Mitra,Female
Tushar,Majumdar,Male
Yash,Barai,Male
Tithi,Basak,Female
Joy,Gazi,Male
Qasim,Saha,Male
Laxmi,Biswas,Female
Krittika,Chakraborty,Female
Nirupam,Chakrabarti,Male
Himadri,Dutta,Male
Pratik,Naskar,Male
Ranjit,Poddar,Male
Tina,Pal,Female
Qamar,Bhattacharjee,Male
Dwaipayan,Ganguly,Male
Palash,Barai,Male
Niladri,Das,Male
Rimi,Chakrabarti,Female
Deep,Bandyopadhyay,Male
Upal,Barai,Male
Zarin,Hossain,Female
Elina,Deb,Female
Bishal,Adhikary,Male
Ishita,Chakraborty,Female
Hrithik,Basak,Male
Palash,Dutta,Male
Farida,Talukdar,Female
Oishani,Khan,Female
Jayanta,Chakma,Male
Joy,Bhuiyan,Male
Kajal,GhoshDastidar,Female
Deep,Chakravarty,Male
Anik,Barai,Male
Farhan,Chakravarty,Male
Xarina,GhoshDastidar,Female
Nikhil,Das,Male
Farida,Sekhar,Female
Utpal,Majumdar,Male
Ishita,Sarkar,Female
Faria,Majumdar,Female
Arpan,Sekhar,Male
Mithun,Ganguly,Male
Laxmi,Dey,Female
Elina,Sengupto,Female
Utpal,Rahman,Male
Joy,Sikdar,Male
Pihu,Munshi,Female
Deepto,Saha,Male
Harsha,Dutta,Female
Subhajit,Banerji,Male
Tushar,Bhattacharjee,Male
Jharna,Khatun,Female
Tushar,Khatun,Male
Puja,Bhattacharjee,Female
Hiranmay,Banerjee,Male
Eshani,Banerji,Female
Farhanul,Bhowmik,Male
Laxmi,Deb,Female
Xavier,Bhowmik,Male
Lipika,Ghosh,Female
Indranil,Sheikh,Male
Ranjit,Mazumder,Male
Elina,Koley,Female
Palash,Roy,Male
Chandan,Chowdhury,Male
Manoj,Basu,Male
Farida,Das,Female
Kaushik,Bera,Male
Madhumita,Dutta,Female
Jayanta,Ali,Male
Indranil,Deb,Male
Harsha,Mandal,Female
Upoma,Ray,Female
Namita,Bagchi,Female
Purnima,Chatterjee,Female
Farhan,Datta,Male
Hrithik,Pal,Male
Subhasis,Adhikary,Male
Zahir,Roychowdhury,Male
Debasis,Dutta,Male
Arjun,Khatun,Male
Partha,Jana,Male
Rupali,Sen,Female
Pihu,Roy,Female
Kamal,Mukherjee,Male
Faria,Barua,Female
Liton,Mukherjee,Male
Arpan,Banerji,Male
Rima,Chatterjee,Female
Debasis,Bera,Male
Hrithik,Khatun,Male
Rupam,Roy,Male
Elina,Poddar,Female
Koyel,Ghoshal,Female
Goutam,Sinha,Male
Mithun,Barua,Male
Kaberi,Mazumder,Female
Gopal,Mandal,Male
Naina,Sengupta,Female
Tushar,Ghosalkar,Male
Nabamita,Barai,Female
Hrithik,Ray,Male
Harsha,Chowdhury,Female
Komal,Dey,Female
Manoj,Chakma,Male
Mithun,Karmakar,Male
Suchitra,Banerjee,Female
Zinia,Banerji,Female
Riya,Munshi,Female
Arpan,Ghoshal,Male
Zahir,Bhattacharjee,Male
Debjit,Sultana,Male
Laxmi,Mazumdar,Female
Yogesh,Banerjee,Male
Pihu,Moitra,Female
Xavier,Sultana,Male
Kaushik,Sinha,Male
Rima,Kar,Female
Manoj,Bagchi,Male
Farhan,Mandal,Male
Velan,Ganguly,Male
Elina,Pal,Female
Subhajit,Hossain,Male
Oishee,Kundu,Female
Suchismita,Munshi,Female
Somnath,Basu,Male
Jaya,Jana,Female
Pratik,Chowdhury,Male
Kajal,Paul,Female
Dibakar,Das,Male
Laxmi,Moitra,Female
Niladri,Pramanik,Male
Esha,Bagchi,Female
Manas,Koley,Male
Lopamudra,Biswas,Female
Faria,Adhikary,Female
Madhumita,Poddar,Female
Goutam,Karmakar,Male
Qayum,Chakraborty,Male
Zarin,Sarkar,Female
Wahid,Naskar,Male
Niladri,Rahman,Male
Utpal,Mukherjee,Male
Utpal,Sekhar,Male
Manisha,Barai,Female
Palash,Sengupta,Male
Jharna,Sengupta,Female
Ranjit,Mitra,Male
Kaushik,Dutta,Male
Madhuri,Mazumdar,Female
Biplab,Sheikh,Male
Payel,Chakma,Female
Deepto,Mazumdar,Male
Laxmi,Munshi,Female
Aritra,Mukhopadhyay,Male
Zahir,Sen,Male
Rukmini,Chakma,Female
Niladri,DuttaChoudhury,Male
Zinia,Bandyopadhyay,Female
Upal,Bhuiyan,Male
Liton,Biswas,Male
Dibakar,Malakar,Male
Purnima,Barua,Female
Zinia,Talukdar,Female
Wasim,Basu,Male
Bappa,Ghoshal,Male
Dipankar,Bhowmik,Male
Suchismita,Barik,Female
Gourab,Lodh,Male
Bikram,Bhattacharjee,Male
Chiranjit,Bhowmik,Male
Bappa,Ghosalkar,Male
Debasis,Lodh,Male
Ritwik,Rahman,Male
Elina,Pramanik,Female
Deep,Bhattacharjee,Male
Riya,Mazumder,Female
Jayanta,Mazumdar,Male
Xarina,Kar,Female
Gourab,Sikdar,Male
Manisha,Roychowdhury,Female
Ravi,Bandyopadhyay,Male
Joy,Roy,Male
Partha,Dutta,Male
Kaushik,SenGupta,Male
Ritwik,Adhikary,Male
Wahid,Chowdhury,Male
Chiranjit,Poddar,Male
Tanmay,Bandyopadhyay,Male
Jharna,Saha,Female
Xarina,Saha,Female
Animesh,Bandyopadhyay,Male
Subhash,Basu,Male
Ritwik,Kundu,Male
Wasim,Ghosalkar,Male
Zarin,Banerji,Female
Koel,Khatun,Female
Pihu,Karmakar,Female
Oishani,Karmakar,Female
Xavier,Naskar,Male
Animesh,Poddar,Male
Rimi,Bera,Female
Mithun,Sikdar,Male
Rimi,Mazumdar,Female
Xarina,Ganguly,Female
Madhuri,Naskar,Female
Bikram,Bera,Male
Vikram,Barai,Male
Ranjit,Gazi,Male
Koel,Chakma,Female
Ritwik,Halder,Male
Namita,Chakravarty,Female
Harsha,GhoshDastidar,Female
Bappa,Rahman,Male
Indranil,Khan,Male
Mrinmoy,Banerjee,Male
Ipsita,Roy,Female
Laxmi,Kundu,Female
Niladri,Adhikary,Male
Tuhina,Adhikary,Female
Aritra,Chowdhury,Male
Oishani,Mandal,Female
Krittika,Koley,Female
Jayanta,Sengupto,Male
Laboni,Sengupta,Female
Ritwik,Barik,Male
Esha,Saha,Female
Joy,Chowdhury,Male
Dwij,Barik,Male
Kamal,Sen,Male
Oindrila,Mandal,Female
Rupam,Talukdar,Male
Kamal,Ghoshal,Male
Mithun,Khatun,Male
Nabaneeta,Chakravarty,Female
Lopamudra,Ali,Female
Joy,DuttaChoudhury,Male
Koel,SenGupta,Female
Gourab,Dutta,Male
Dipankar,Hossain,Male
Oishani,Moitra,Female
Subhash,GhoshDastidar,Male
Pihu,Bhattacharjee,Female
Oindrila,Saha,Female
Chiranjit,Datta,Male
Xarina,Adhikary,Female
Debasis,Bandyopadhyay,Male
Hiranmay,Dutta,Male
Moumita,Sikdar,Female
Oishani,Chowdhury,Female
Riya,Sikdar,Female
Kajal,Khatun,Female
Indranil,Mukherjee,Male
Suchitra,Sultana,Female
Tithi,Gazi,Female
Soma,Ghosh,Female
Anik,Bagchi,Male
Oishani,Sultana,Female
Mitali,Mandal,Female
Quadir,Adhikary,Male
Laxmi,Sen,Female
Jharna,Das,Female
Niladri,Ali,Male
Manisha,Biswas,Female
Hiranmay,GhoshDastidar,Male
Krittika,Sengupta,Female
Gourab,Munshi,Male
Quadir,Khan,Male
Bappa,Munshi,Male
Mrinmoy,Rahman,Male
Yasmin,Ganguly,Female
Kajal,Talukdar,Female
Chandan,Sarkar,Male
Dwij,Dey,Male
Himadri,Nandi,Male
Tushar,Rahman,Male
Aritra,Deb,Male
Mithun,Chakma,Male
Jharna,Bhattacharjee,Female
Suchitra,Paul,Female
Soma,Kundu,Female
Pradip,Ghoshal,Male
Namita,Ganguly,Female
Soma,Kar,Female
Qasim,SenGupta,Male
Jaya,Sekhar,Female
Rupak,Mukherjee,Male
Purnima,Mandal,Female
Zinia,Basu,Female
Joy,Bhattacharjee,Male
Jhumur,Chatterjee,Female
Nikhil,Kundu,Male
Velan,Chatterjee,Male
Goutam,Ghosh,Male
Joy,Halder,Male
Velan,Basak,Male
Enakshi,Mitra,Female
Laboni,Kar,Female
Tumpa,Sarkar,Female
Nabamita,Pramanik,Female
Riya,Khan,Female
Arpan,Moitra,Male
Aritra,Adhikary,Male
Chiranjit,Chakma,Male
Zahir,Rahman,Male
Lopamudra,Chakravarty,Female
Jayanta,Mukherjee,Male
Naina,Nandi,Female
Nabamita,Chakravarty,Female
Varun,Mukherjee,Male
Rupak,Barai,Male
Koel,Basu,Female
Gopal,Ali,Male
Hiranmay,Kar,Male
Oishani,Bhuiyan,Female
Koyel,Barai,Female
Dipankar,Karmakar,Male
Farida,Majumdar,Female
Koyel,Jana,Female
Ranjit,Dey,Male
Jharna,Sarkar,Female
Jaya,Poddar,Female
Gourab,Barai,Male
Chiranjit,Bera,Male
Ritwik,Mondal,Male
Warisha,Mazumder,Female
Kaberi,Bhattacharjee,Female
Chandan,Kundu,Male
Himadri,Sheikh,Male
Krittika,Ghoshal,Female
Sweta,Bhowmik,Female
Farida,Kundu,Female
Pritha,Rahman,Female
Esha,Karmakar,Female
Jharna,Naskar,Female
Oindrila,Kar,Female
Partha,Basu,Male
Puja,Bandyopadhyay,Female
Bikram,Chatterjee,Male
Pratik,Gazi,Male
Debasis,Sultana,Male
Kamal,Ghosh,Male
Partha,Barai,Male
Esha,Mukherjee,Female
Tanmay,Datta,Male
Jayanta,Saha,Male
Subhasis,Bhattacharjee,Male
Mrinmoy,Bhattacharjee,Male
Suchitra,Karmakar,Female
Goutam,Talukdar,Male
Tushar,Sengupto,Male
Namita,Deb,Female
Somnath,Sultana,Male
Aritra,Chakravarty,Male
Koel,Deb,Female
Indrani,Das,Female
Payel,Barua,Female
Tumpa,Bhattacharya,Female
Rupali,Bera,Female
Qamar,Basak,Male
Komal,Sen,Female
Eshani,Barua,Female
Mrinmoy,Barik,Male
Nabamita,Nandi,Female
Ipsita,Chatterjee,Female
Sudip,Ganguly,Male
Bappa,Sengupta,Male
Faria,Sen,Female
Oishee,Barik,Female
Himadri,Pal,Male
Enakshi,Malakar,Female
Yasmin,Sinha,Female
Tumpa,Khatun,Female
Arjun,Mazumder,Male
Kamal,Barik,Male
Anik,Barik,Male
Yash,Ali,Male
Gulshan,Barai,Male
Jhumur,Ghoshal,Female
Indranil,Mazumdar,Male
Mithun,Bhuiyan,Male
Niladri,Sinha,Male
Koyel,Sen,Female
Bikram,Khatun,Male
Tuhina,Bera,Female
Farhanul,Chowdhury,Male
Tanmay,Sekhar,Male
Farida,Banerjee,Female
Wasim,Barai,Male
Namita,Bhattacharjee,Female
Qasim,Basu,Male
Subhash,Bhattacharjee,Male
Ranjit,SenGupta,Male
Rupali,Deb,Female
Gourab,Sheikh,Male
Eshani,Sikdar,Female
Upal,Chakma,Male
Vikram,Nandi,Male
Harsha,Kar,Female
Tuhina,Poddar,Female
Tanmay,Bhuiyan,Male
Ishita,Das,Female
Subhash,Sarkar,Male
Kaushik,Bandyopadhyay,Male
Warisha,Mitra,Female
Partha,Sarkar,Male
Chandan,Bera,Male
Manisha,Ray,Female
Ravi,Barua,Male
Nabendu,Majumdar,Male
Nabaneeta,Bera,Female
Jhumur,Mazumdar,Female
Yash,Ray,Male
Gargi,Gazi,Female
Xarina,Naskar,Female
Liton,Koley,Male
Goutam,Barua,Male
Rupam,Sikdar,Male
Dibakar,GhoshDastidar,Male
Riya,Biswas,Female
Arindam,Adhikary,Male
Tumpa,Munshi,Female
Eshani,Paul,Female
Liton,Ghosalkar,Male
Tithi,Adhikary,Female
Ravi,Sekhar,Male
Rupak,Munshi,Male
Soma,Mandal,Female
Yogesh,Barua,Male
Zahir,Khan,Male
Mrinmoy,Sengupta,Male
Indrani,Mazumder,Female
Rukmini,Chakravarty,Female
Elina,Malakar,Female
Dwij,Banerjee,Male
Bappa,Koley,Male
Nabendu,Deb,Male
Varun,Chowdhury,Male
Hiranmay,Bhattacharya,Male
Manas,Mondal,Male
Dwij,Pramanik,Male
Mitali,Sikdar,Female
Yash,Bhowmik,Male
Bikram,Bagchi,Male
Himadri,Paul,Male
Somnath,Das,Male
Manoj,Ali,Male
Arindam,Dutta,Male
Naina,Chakma,Female
Somnath,Datta,Male
Laxmi,Chakraborty,Female
Xavier,Mazumder,Male
Dipankar,Sinha,Male
Faria,Ghosalkar,Female
Somnath,Sengupta,Male
Arindam,Ghoshal,Male
Indranil,Barua,Male
Tuhina,Mandal,Female
Zarin,Sultana,Female
Mrinmoy,Kar,Male
Tuhina,Sarkar,Female
Rupam,Dey,Male
Jharna,Mitra,Female
Vikram,Ghoshal,Male
Rupak,Bhattacharya,Male
Subhash,Deb,Male
Farhanul,Dutta,Male
Swapan,Das,Male
Debjit,Jana,Male
Manisha,Chakraborty,Female
Pihu,SenGupta,Female
Suchismita,Sengupto,Female
Oindrila,Pal,Female
Debasis,Paul,Male
Jayanta,Dutta,Male
Sourav,Pramanik,Male
Wahid,Ray,Male
Arjun,Dey,Male
Esha,DuttaChoudhury,Female
Dwij,Mandal,Male
Gouranga,Ali,Male
Tumpa,Chowdhury,Female
Namita,Moitra,Female
Tithi,SenGupta,Female
Ishita,Munshi,Female
Rima,Mukhopadhyay,Female
Madhuri,Moitra,Female
Chiranjit,Banerjee,Male
Subhajit,Chatterjee,Male
Lopamudra,Mazumder,Female
Rima,Rahman,Female
Tanmay,Khatun,Male
Warisha,Sen,Female
Jhumur,Banerji,Female
Tapas,Chowdhury,Male
Swapan,Halder,Male
Tina,Dey,Female
Tumpa,Mondal,Female
Ishaan,Mazumder,Male
Quadir,Deb,Male
Ritwik,Sengupta,Male
Joydeep,Gazi,Male
Goutam,Bagchi,Male
Indranil,Sengupta,Male
Gouranga,SenGupta,Male
Pritha,Biswas,Female
Ishaan,Rahman,Male
Kaushik,Hossain,Male
Tushar,Mukhopadhyay,Male
Indranil,Khatun,Male
Rupak,Basu,Male
Xarina,Chakraborty,Female
Ishaan,Basak,Male
Tushar,GhoshDastidar,Male
Purnima,Nandi,Female
Gopal,Mukherjee,Male
Tithi,Khatun,Female
Kaberi,Bandyopadhyay,Female
Tithi,Biswas,Female
Zahir,SenGupta,Male
Qasim,DuttaChoudhury,Male
Deepto,Sikdar,Male
Indranil,Kar,Male
Subhajit,Biswas,Male
Gulshan,Bera,Male
Eshani,Roy,Female
Rupak,Poddar,Male
Xavier,Ali,Male
Bikram,Mazumdar,Male
Sourav,Adhikary,Male
Mrinmoy,DuttaChoudhury,Male
Anik,Bhuiyan,Male
Harsha,Bhattacharya,Female
Vikram,DuttaChoudhury,Male
Yasmin,Bhattacharjee,Female
Kajal,Barik,Female
Velan,Sultana,Male
Tumpa,Chakrabarti,Female
Manisha,Mitra,Female
Manoj,Majumdar,Male
Varun,Koley,Male
Esha,Sekhar,Female
Arpan,Deb,Male
Rupak,GhoshDastidar,Male
Pradip,Jana,Male
Rimi,Banerji,Female
Enakshi,Moitra,Female
Yash,Chowdhury,Male
Farida,Kar,Female
Mrinmoy,Saha,Male
Zarin,Adhikary,Female
Naina,Bhowmik,Female
Somnath,Naskar,Male
Utpal,Lodh,Male
Suchitra,Bagchi,Female
Oishee,Moitra,Female
Tapas,Ghoshal,Male
Subhasis,Majumdar,Male
Kamal,DuttaChoudhury,Male
Oindrila,GhoshDastidar,Female
Subhajit,Mandal,Male
Jhumur,Chowdhury,Female
Soma,Khan,Female
Harsha,Bandyopadhyay,Female
Arpan,Gazi,Male
Tithi,Ray,Female
Koyel,Chakraborty,Female
Mitali,Bagchi,Female
Farhan,Barik,Male
Niladri,Deb,Male
Pritha,Mukhopadhyay,Female
Jharna,Majumdar,Female
Rupali,Mondal,Female
Subhajit,Bhattacharjee,Male
Upoma,Paul,Female
Bishal,Lodh,Male
Vikram,Barua,Male
Goutam,Lodh,Male
Arjun,Saha,Male
Somnath,Khan,Male
Lopamudra,Chakraborty,Female
Goutam,Bera,Male
Madhuri,Sinha,Female
Purnima,SenGupta,Female
Pratik,Bhowmik,Male
Kajal,Dey,Female
Yash,Sarkar,Male
Oishani,Basu,Female
Gourab,Roychowdhury,Male
Tithi,Ghosalkar,Female
Chandan,Sengupto,Male
Jaya,Mazumdar,Female
Pritha,Majumdar,Female
Puja,Chakraborty,Female
Xavier,Chowdhury,Male
